date,travel
10/17/2019,"2,049,855"
10/16/2019,"2,637,667"
10/15/2019,"2,581,007"
10/14/2019,"2,317,763"
10/13/2019,"2,313,632"
10/12/2019,"2,616,771"
10/11/2019,"2,555,333"
10/10/2019,"2,074,718"
10/9/2019,"2,688,032"
10/8/2019,"2,605,291"
10/7/2019,"2,215,233"
10/6/2019,"2,035,628"
10/5/2019,"2,400,153"
10/4/2019,"2,542,118"
10/3/2019,"1,921,185"
10/2/2019,"2,526,835"
10/1/2019,"2,447,687"
9/30/2019,"2,082,179"
9/29/2019,"1,998,980"
9/28/2019,"2,368,818"
9/27/2019,"2,452,596"
9/26/2019,"1,966,234"
9/25/2019,"2,547,611"
9/24/2019,"2,510,926"
9/23/2019,"2,188,236"
9/22/2019,"2,033,490"
9/21/2019,"2,431,388"
9/20/2019,"2,517,826"
9/19/2019,"1,938,402"
9/18/2019,"2,571,924"
9/17/2019,"2,455,410"
9/16/2019,"2,146,857"
9/15/2019,"2,013,050"
9/14/2019,"2,405,832"
9/13/2019,"2,485,134"
9/12/2019,"1,879,822"
9/11/2019,"2,484,025"
9/10/2019,"2,449,302"
9/9/2019,"2,005,867"
9/8/2019,"1,943,379"
9/7/2019,"2,292,985"
9/6/2019,"2,370,003"
9/5/2019,"1,755,502"
9/4/2019,"2,198,828"
9/3/2019,"2,109,858"
9/2/2019,"1,889,044"
9/1/2019,"2,037,750"
8/31/2019,"2,278,159"
8/30/2019,"1,887,845"
8/29/2019,"1,954,902"
8/28/2019,"2,658,558"
8/27/2019,"2,561,109"
8/26/2019,"2,188,688"
8/25/2019,"2,015,088"
8/24/2019,"2,358,007"
8/23/2019,"2,493,162"
8/22/2019,"2,039,233"
8/21/2019,"2,559,244"
8/20/2019,"2,533,184"
8/19/2019,"2,306,838"
8/18/2019,"2,247,446"
8/17/2019,"2,576,965"
8/16/2019,"2,584,444"
8/15/2019,"2,171,962"
8/14/2019,"2,627,564"
8/13/2019,"2,602,446"
8/12/2019,"2,391,906"
8/11/2019,"2,306,829"
8/10/2019,"2,567,986"
8/9/2019,"2,647,897"
8/8/2019,"2,290,340"
8/7/2019,"2,725,000"
8/6/2019,"2,707,986"
8/5/2019,"2,430,094"
8/4/2019,"2,387,115"
8/3/2019,"2,619,406"
8/2/2019,"2,688,640"
8/1/2019,"2,367,967"
7/31/2019,"2,730,936"
7/30/2019,"2,742,882"
7/29/2019,"2,542,365"
7/28/2019,"2,438,967"
7/27/2019,"2,613,346"
7/26/2019,"2,700,723"
7/25/2019,"2,364,925"
7/24/2019,"2,732,770"
7/23/2019,"2,705,399"
7/22/2019,"2,561,911"
7/21/2019,"2,499,460"
7/20/2019,"2,635,312"
7/19/2019,"2,727,355"
7/18/2019,"2,396,462"
7/17/2019,"2,776,960"
7/16/2019,"2,716,828"
7/15/2019,"2,522,563"
7/14/2019,"2,447,177"
7/13/2019,"2,615,115"
7/12/2019,"2,669,717"
7/11/2019,"2,312,178"
7/10/2019,"2,716,812"
7/9/2019,"2,608,209"
7/8/2019,"2,515,902"
7/7/2019,"2,506,859"
7/6/2019,"2,748,718"
7/5/2019,"2,795,369"
7/4/2019,"2,345,846"
7/3/2019,"2,184,253"
7/2/2019,"2,088,760"
7/1/2019,"2,547,889"
6/30/2019,"2,347,767"
6/29/2019,"2,455,536"
6/28/2019,"2,632,030"
6/27/2019,"2,368,846"
6/26/2019,"2,730,515"
6/25/2019,"2,711,222"
6/24/2019,"2,594,661"
6/23/2019,"2,506,510"
6/22/2019,"2,716,428"
6/21/2019,"2,719,643"
6/20/2019,"2,378,559"
6/19/2019,"2,772,903"
6/18/2019,"2,728,786"
6/17/2019,"2,552,395"
6/16/2019,"2,466,574"
6/15/2019,"2,699,580"
6/14/2019,"2,642,083"
6/13/2019,"2,318,946"
6/12/2019,"2,727,860"
6/11/2019,"2,675,686"
6/10/2019,"2,509,058"
6/9/2019,"2,433,189"
6/8/2019,"2,644,981"
6/7/2019,"2,669,860"
6/6/2019,"2,225,952"
6/5/2019,"2,649,808"
6/4/2019,"2,623,947"
6/3/2019,"2,370,152"
6/2/2019,"2,247,421"
6/1/2019,"2,499,002"
5/31/2019,"2,555,578"
5/30/2019,"2,117,180"
5/29/2019,"2,570,613"
5/28/2019,"2,485,770"
5/27/2019,"2,269,035"
5/26/2019,"2,453,649"
5/25/2019,"2,512,237"
5/24/2019,"2,070,716"
5/23/2019,"2,124,825"
5/22/2019,"2,792,670"
5/21/2019,"2,673,635"
5/20/2019,"2,472,123"
5/19/2019,"2,312,727"
5/18/2019,"2,615,691"
5/17/2019,"2,620,276"
5/16/2019,"2,091,116"
5/15/2019,"2,664,549"
5/14/2019,"2,611,324"
5/13/2019,"2,343,675"
5/12/2019,"2,191,387"
5/11/2019,"2,512,315"
5/10/2019,"2,419,114"
5/9/2019,"1,985,942"
5/8/2019,"2,602,631"
5/7/2019,"2,555,342"
5/6/2019,"2,270,662"
5/5/2019,"2,106,597"
5/4/2019,"2,470,969"
5/3/2019,"2,512,598"
5/2/2019,"1,968,278"
5/1/2019,"2,546,029"
4/30/2019,"2,499,461"
4/29/2019,"2,256,442"
4/28/2019,"2,102,068"
4/27/2019,"2,412,770"
4/26/2019,"2,506,809"
4/25/2019,"1,990,464"
4/24/2019,"2,521,897"
4/23/2019,"2,526,961"
4/22/2019,"2,254,209"
4/21/2019,"2,227,475"
4/20/2019,"2,594,171"
4/19/2019,"2,356,802"
4/18/2019,"1,988,205"
4/17/2019,"2,457,133"
4/16/2019,"2,616,158"
4/15/2019,"2,317,381"
4/14/2019,"2,208,688"
4/13/2019,"2,484,580"
4/12/2019,"2,446,801"
4/11/2019,"2,059,142"
4/10/2019,"2,590,499"
4/9/2019,"2,487,398"
4/8/2019,"2,229,276"
4/7/2019,"2,091,056"
4/6/2019,"2,384,091"
4/5/2019,"2,462,929"
4/4/2019,"2,011,715"
4/3/2019,"2,476,884"
4/2/2019,"2,411,500"
4/1/2019,"2,151,626"
3/31/2019,"2,026,256"
3/30/2019,"2,360,053"
3/29/2019,"2,510,294"
3/28/2019,"2,172,920"
3/27/2019,"2,538,384"
3/26/2019,"2,487,162"
